dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
obesity;svm;chi2;120;0.563;0.122;0.648;0.038
obesity;svm;chi2;130;0.564;0.124;0.648;0.038
obesity;svm;chi2;140;0.563;0.127;0.648;0.038
obesity;svm;chi2;150;0.563;0.127;0.648;0.038
obesity;svm;chi2;160;0.558;0.132;0.644;0.031
obesity;svm;chi2;170;0.554;0.134;0.648;0.038
obesity;svm;chi2;180;0.541;0.144;0.648;0.038
obesity;svm;chi2;190;0.54;0.145;0.648;0.038
obesity;svm;chi2;200;0.54;0.143;0.648;0.038
obesity;svm;multisurf;10;0.608;0.104;0.648;0.058
obesity;svm;multisurf;20;0.584;0.128;0.596;0.038
obesity;svm;multisurf;30;0.625;0.11;0.656;0.039
obesity;svm;multisurf;40;0.617;0.107;0.652;0.042
obesity;svm;multisurf;50;0.604;0.108;0.656;0.047
obesity;svm;multisurf;60;0.599;0.123;0.656;0.047
obesity;svm;multisurf;70;0.609;0.115;0.652;0.05
obesity;svm;multisurf;80;0.622;0.125;0.644;0.056
obesity;svm;multisurf;90;0.622;0.127;0.644;0.056
obesity;svm;multisurf;100;0.6;0.127;0.64;0.054
obesity;svm;multisurf;110;0.593;0.126;0.64;0.054
obesity;svm;multisurf;120;0.601;0.129;0.64;0.054
obesity;svm;multisurf;130;0.604;0.116;0.64;0.047
obesity;svm;multisurf;140;0.583;0.121;0.644;0.045
obesity;svm;multisurf;150;0.592;0.121;0.636;0.055
obesity;svm;multisurf;160;0.595;0.123;0.64;0.054
obesity;svm;multisurf;170;0.596;0.121;0.64;0.054
obesity;svm;multisurf;180;0.596;0.121;0.64;0.054
obesity;svm;multisurf;190;0.596;0.121;0.64;0.054
obesity;svm;multisurf;200;0.596;0.121;0.64;0.054
obesity;svm;boruta;6;0.65;0.083;0.644;0.03
cirrhosis;svm;random-forest;10;0.912;0.05;0.612;0.07
cirrhosis;svm;random-forest;20;0.929;0.059;0.63;0.063
cirrhosis;svm;random-forest;30;0.922;0.048;0.643;0.076
cirrhosis;svm;random-forest;40;0.836;0.099;0.651;0.113
cirrhosis;svm;random-forest;50;0.836;0.087;0.659;0.116
cirrhosis;svm;random-forest;60;0.806;0.098;0.694;0.122
cirrhosis;svm;random-forest;70;0.797;0.105;0.694;0.099
cirrhosis;svm;random-forest;80;0.818;0.097;0.729;0.092
cirrhosis;svm;random-forest;90;0.822;0.091;0.75;0.104
cirrhosis;svm;random-forest;100;0.816;0.093;0.746;0.098
cirrhosis;svm;random-forest;110;0.815;0.091;0.742;0.092
cirrhosis;svm;random-forest;120;0.82;0.09;0.741;0.088
cirrhosis;svm;random-forest;130;0.821;0.093;0.746;0.08
cirrhosis;svm;random-forest;140;0.819;0.093;0.746;0.08
cirrhosis;svm;random-forest;150;0.821;0.091;0.741;0.082
cirrhosis;svm;random-forest;160;0.823;0.092;0.742;0.086
cirrhosis;svm;random-forest;170;0.822;0.093;0.746;0.08
cirrhosis;svm;random-forest;180;0.82;0.092;0.75;0.076
cirrhosis;svm;random-forest;190;0.82;0.092;0.75;0.076
cirrhosis;svm;random-forest;200;0.822;0.093;0.746;0.093
cirrhosis;svm;mrmr;10;0.903;0.052;0.608;0.074
cirrhosis;svm;mrmr;20;0.918;0.044;0.668;0.07
cirrhosis;svm;mrmr;30;0.888;0.04;0.707;0.084
cirrhosis;svm;mrmr;40;0.897;0.037;0.712;0.078
cirrhosis;svm;mrmr;50;0.87;0.072;0.78;0.077
cirrhosis;svm;mrmr;60;0.858;0.065;0.763;0.071
cirrhosis;svm;mrmr;70;0.861;0.066;0.767;0.075
cirrhosis;svm;mrmr;80;0.864;0.059;0.763;0.087
cirrhosis;svm;mrmr;90;0.864;0.06;0.754;0.085
cirrhosis;svm;mrmr;100;0.866;0.067;0.759;0.089
cirrhosis;svm;mrmr;110;0.866;0.065;0.772;0.085
cirrhosis;svm;mrmr;120;0.864;0.063;0.772;0.092
cirrhosis;svm;mrmr;130;0.864;0.063;0.772;0.095
cirrhosis;svm;mrmr;140;0.866;0.062;0.763;0.094
cirrhosis;svm;mrmr;150;0.866;0.062;0.763;0.094
cirrhosis;svm;mrmr;160;0.862;0.061;0.763;0.085
cirrhosis;svm;mrmr;170;0.863;0.06;0.763;0.085
cirrhosis;svm;mrmr;180;0.865;0.061;0.759;0.081
cirrhosis;svm;mrmr;190;0.864;0.059;0.763;0.081
cirrhosis;svm;mrmr;200;0.863;0.059;0.759;0.081
cirrhosis;svm;mutual-info;10;0.93;0.039;0.608;0.062
cirrhosis;svm;mutual-info;20;0.921;0.048;0.616;0.062
cirrhosis;svm;mutual-info;30;0.904;0.058;0.647;0.08
cirrhosis;svm;mutual-info;40;0.894;0.054;0.651;0.081
cirrhosis;svm;mutual-info;50;0.889;0.055;0.656;0.067
cirrhosis;svm;mutual-info;60;0.894;0.051;0.656;0.067
cirrhosis;svm;mutual-info;70;0.897;0.053;0.656;0.067
cirrhosis;svm;mutual-info;80;0.885;0.054;0.677;0.081
cirrhosis;svm;mutual-info;90;0.899;0.054;0.656;0.067
cirrhosis;svm;mutual-info;100;0.89;0.053;0.668;0.07
cirrhosis;svm;mutual-info;110;0.884;0.058;0.698;0.069
cirrhosis;svm;mutual-info;120;0.874;0.056;0.729;0.086
cirrhosis;svm;mutual-info;130;0.871;0.056;0.742;0.087
cirrhosis;svm;mutual-info;140;0.836;0.083;0.746;0.076
cirrhosis;svm;mutual-info;150;0.869;0.057;0.729;0.086
cirrhosis;svm;mutual-info;160;0.855;0.088;0.755;0.095
cirrhosis;svm;mutual-info;170;0.83;0.102;0.75;0.07
cirrhosis;svm;mutual-info;180;0.843;0.087;0.745;0.078
cirrhosis;svm;mutual-info;190;0.829;0.104;0.741;0.103
cirrhosis;svm;mutual-info;200;0.832;0.101;0.741;0.104
cirrhosis;svm;chi2;10;0.843;0.053;0.721;0.1
cirrhosis;svm;chi2;20;0.862;0.067;0.759;0.089
cirrhosis;svm;chi2;30;0.836;0.083;0.763;0.09
cirrhosis;svm;chi2;40;0.844;0.085;0.768;0.086
cirrhosis;svm;chi2;50;0.837;0.092;0.763;0.091
cirrhosis;svm;chi2;60;0.844;0.088;0.755;0.085
cirrhosis;svm;chi2;70;0.847;0.088;0.755;0.085
cirrhosis;svm;chi2;80;0.844;0.08;0.755;0.085
cirrhosis;svm;chi2;90;0.844;0.081;0.755;0.085
cirrhosis;svm;chi2;100;0.843;0.084;0.755;0.077
cirrhosis;svm;chi2;110;0.843;0.085;0.755;0.077
cirrhosis;svm;chi2;120;0.844;0.085;0.755;0.077
cirrhosis;svm;chi2;130;0.841;0.082;0.754;0.075
cirrhosis;svm;chi2;140;0.832;0.087;0.746;0.085
cirrhosis;svm;chi2;150;0.831;0.088;0.746;0.085
cirrhosis;svm;chi2;160;0.831;0.087;0.746;0.085
cirrhosis;svm;chi2;170;0.831;0.087;0.746;0.085
cirrhosis;svm;chi2;180;0.831;0.087;0.746;0.085
cirrhosis;svm;chi2;190;0.826;0.089;0.746;0.085
cirrhosis;svm;chi2;200;0.826;0.089;0.746;0.085
cirrhosis;svm;multisurf;10;0.693;0.097;0.561;0.085
cirrhosis;svm;multisurf;20;0.712;0.1;0.629;0.044
cirrhosis;svm;multisurf;30;0.795;0.123;0.733;0.098
cirrhosis;svm;multisurf;40;0.788;0.122;0.72;0.094
cirrhosis;svm;multisurf;50;0.796;0.119;0.707;0.091
cirrhosis;svm;multisurf;60;0.782;0.114;0.707;0.091
cirrhosis;svm;multisurf;70;0.783;0.114;0.707;0.091
cirrhosis;svm;multisurf;80;0.785;0.112;0.707;0.095
cirrhosis;svm;multisurf;90;0.778;0.108;0.703;0.094
cirrhosis;svm;multisurf;100;0.776;0.108;0.703;0.084
cirrhosis;svm;multisurf;110;0.776;0.111;0.707;0.075
cirrhosis;svm;multisurf;120;0.775;0.11;0.694;0.076
cirrhosis;svm;multisurf;130;0.779;0.109;0.711;0.078
cirrhosis;svm;multisurf;140;0.788;0.101;0.724;0.076
cirrhosis;svm;multisurf;150;0.788;0.101;0.724;0.076
cirrhosis;svm;multisurf;160;0.801;0.091;0.715;0.078
cirrhosis;svm;multisurf;170;0.797;0.093;0.715;0.078
cirrhosis;svm;multisurf;180;0.799;0.089;0.715;0.078
cirrhosis;svm;multisurf;190;0.799;0.091;0.72;0.076
cirrhosis;svm;multisurf;200;0.799;0.091;0.72;0.076
cirrhosis;svm;boruta;36;0.921;0.044;0.643;0.076
t2d;svm;mrmr;10;0.656;0.082;0.523;0.027
t2d;svm;mrmr;20;0.7;0.108;0.631;0.077
t2d;svm;mrmr;30;0.729;0.118;0.672;0.086
t2d;svm;mrmr;40;0.728;0.119;0.672;0.081
t2d;svm;mrmr;50;0.741;0.116;0.669;0.091
t2d;svm;mrmr;60;0.741;0.119;0.669;0.093
t2d;svm;mrmr;70;0.742;0.118;0.66;0.083
t2d;svm;mrmr;80;0.743;0.113;0.669;0.084
t2d;svm;mrmr;90;0.743;0.113;0.669;0.084
t2d;svm;mrmr;100;0.75;0.108;0.66;0.062
t2d;svm;mrmr;110;0.75;0.108;0.66;0.062
t2d;svm;mrmr;120;0.749;0.108;0.66;0.062
t2d;svm;mrmr;130;0.75;0.108;0.663;0.062
t2d;svm;mrmr;140;0.755;0.103;0.683;0.077
t2d;svm;mrmr;150;0.751;0.102;0.686;0.068
t2d;svm;mrmr;160;0.752;0.102;0.678;0.075
t2d;svm;mrmr;170;0.75;0.107;0.683;0.073
t2d;svm;mrmr;180;0.749;0.107;0.683;0.073
t2d;svm;mrmr;190;0.75;0.103;0.683;0.074
t2d;svm;mrmr;200;0.751;0.103;0.68;0.072
t2d;svm;mutual-info;10;0.524;0.109;0.506;0.007
t2d;svm;mutual-info;20;0.643;0.105;0.52;0.082
t2d;svm;mutual-info;30;0.637;0.112;0.503;0.029
t2d;svm;mutual-info;40;0.614;0.112;0.506;0.03
t2d;svm;mutual-info;50;0.604;0.091;0.497;0.038
t2d;svm;mutual-info;60;0.636;0.095;0.5;0.036
t2d;svm;mutual-info;70;0.674;0.113;0.619;0.082
t2d;svm;mutual-info;80;0.686;0.11;0.625;0.075
t2d;svm;mutual-info;90;0.692;0.107;0.619;0.075
t2d;svm;mutual-info;100;0.68;0.114;0.61;0.078
t2d;svm;mutual-info;110;0.674;0.101;0.622;0.084
t2d;svm;mutual-info;120;0.682;0.106;0.611;0.098
t2d;svm;mutual-info;130;0.695;0.114;0.646;0.079
t2d;svm;mutual-info;140;0.658;0.098;0.602;0.07
t2d;svm;mutual-info;150;0.695;0.114;0.631;0.098
t2d;svm;mutual-info;160;0.731;0.113;0.677;0.066
t2d;svm;mutual-info;170;0.696;0.123;0.625;0.078
t2d;svm;mutual-info;180;0.702;0.114;0.643;0.1
t2d;svm;mutual-info;190;0.687;0.133;0.637;0.093
t2d;svm;mutual-info;200;0.703;0.127;0.652;0.099
t2d;svm;chi2;10;0.726;0.112;0.651;0.082
t2d;svm;chi2;20;0.737;0.103;0.663;0.081
t2d;svm;chi2;30;0.747;0.098;0.675;0.091
t2d;svm;chi2;40;0.745;0.101;0.666;0.098
t2d;svm;chi2;50;0.75;0.102;0.669;0.095
t2d;svm;chi2;60;0.741;0.112;0.678;0.094
t2d;svm;chi2;70;0.744;0.11;0.677;0.095
t2d;svm;chi2;80;0.742;0.11;0.677;0.095
t2d;svm;chi2;90;0.742;0.113;0.675;0.102
t2d;svm;chi2;100;0.738;0.114;0.666;0.111
t2d;svm;chi2;110;0.736;0.112;0.675;0.101
t2d;svm;chi2;120;0.734;0.111;0.675;0.101
t2d;svm;chi2;130;0.728;0.115;0.669;0.092
t2d;svm;chi2;140;0.726;0.116;0.669;0.092
t2d;svm;chi2;150;0.727;0.116;0.666;0.09
t2d;svm;chi2;160;0.727;0.117;0.666;0.09
t2d;svm;chi2;170;0.727;0.117;0.669;0.092
t2d;svm;chi2;180;0.726;0.115;0.669;0.092
t2d;svm;chi2;190;0.726;0.116;0.669;0.092
t2d;svm;chi2;200;0.726;0.116;0.669;0.092
t2d;svm;multisurf;10;0.651;0.138;0.596;0.107
t2d;svm;multisurf;20;0.677;0.145;0.608;0.107
t2d;svm;multisurf;30;0.689;0.124;0.634;0.083
t2d;svm;multisurf;40;0.704;0.117;0.657;0.096
t2d;svm;multisurf;50;0.707;0.117;0.672;0.089
t2d;svm;multisurf;60;0.707;0.123;0.686;0.097
t2d;svm;multisurf;70;0.706;0.121;0.692;0.09
t2d;svm;multisurf;80;0.713;0.103;0.678;0.086
t2d;svm;multisurf;90;0.711;0.112;0.663;0.106
t2d;svm;multisurf;100;0.71;0.113;0.663;0.106
t2d;svm;multisurf;110;0.715;0.118;0.663;0.106
t2d;svm;multisurf;120;0.714;0.119;0.666;0.108
t2d;svm;multisurf;130;0.711;0.111;0.657;0.092
t2d;svm;multisurf;140;0.711;0.111;0.657;0.092
t2d;svm;multisurf;150;0.711;0.117;0.663;0.088
t2d;svm;multisurf;160;0.714;0.115;0.666;0.091
t2d;svm;multisurf;170;0.714;0.115;0.666;0.091
t2d;svm;multisurf;180;0.715;0.114;0.663;0.092
t2d;svm;multisurf;190;0.709;0.117;0.657;0.085
t2d;svm;multisurf;200;0.709;0.117;0.657;0.085
t2d;svm;boruta;16;0.673;0.103;0.622;0.044
t2d;svm;random-forest;10;0.666;0.095;0.625;0.071
t2d;svm;random-forest;20;0.683;0.115;0.646;0.074
t2d;svm;random-forest;30;0.714;0.077;0.668;0.066
t2d;svm;random-forest;40;0.711;0.081;0.663;0.062
t2d;svm;random-forest;50;0.7;0.091;0.662;0.071
t2d;svm;random-forest;60;0.705;0.092;0.659;0.072
t2d;svm;random-forest;70;0.703;0.09;0.654;0.066
t2d;svm;random-forest;80;0.706;0.097;0.631;0.082
t2d;svm;random-forest;90;0.71;0.093;0.651;0.077
t2d;svm;random-forest;100;0.705;0.091;0.665;0.069
t2d;svm;random-forest;110;0.709;0.095;0.654;0.075
t2d;svm;random-forest;120;0.72;0.112;0.666;0.087
t2d;svm;random-forest;130;0.728;0.11;0.663;0.07
t2d;svm;random-forest;140;0.728;0.108;0.666;0.082
t2d;svm;random-forest;150;0.728;0.11;0.666;0.082
t2d;svm;random-forest;160;0.726;0.116;0.666;0.094
t2d;svm;random-forest;170;0.726;0.116;0.666;0.094
t2d;svm;random-forest;180;0.728;0.116;0.666;0.094
t2d;svm;random-forest;190;0.728;0.113;0.674;0.093
t2d;svm;random-forest;200;0.726;0.114;0.672;0.09
t2d;naive-bayes;random-forest;10;0.726;0.078;0.607;0.061
t2d;naive-bayes;random-forest;20;0.733;0.099;0.669;0.087
t2d;naive-bayes;random-forest;30;0.723;0.064;0.66;0.084
t2d;naive-bayes;random-forest;40;0.723;0.078;0.66;0.085
t2d;naive-bayes;random-forest;50;0.724;0.082;0.66;0.083
t2d;naive-bayes;random-forest;60;0.703;0.085;0.637;0.082
t2d;naive-bayes;random-forest;70;0.71;0.095;0.654;0.078
t2d;naive-bayes;random-forest;80;0.694;0.088;0.648;0.077
t2d;naive-bayes;random-forest;90;0.702;0.085;0.663;0.071
t2d;naive-bayes;random-forest;100;0.692;0.08;0.663;0.076
t2d;naive-bayes;random-forest;110;0.7;0.081;0.663;0.075
t2d;naive-bayes;random-forest;120;0.708;0.097;0.648;0.077
t2d;naive-bayes;random-forest;130;0.702;0.093;0.651;0.075
t2d;naive-bayes;random-forest;140;0.692;0.096;0.637;0.077
t2d;naive-bayes;random-forest;150;0.703;0.105;0.654;0.089
t2d;naive-bayes;random-forest;160;0.696;0.1;0.651;0.089
t2d;naive-bayes;random-forest;170;0.696;0.101;0.657;0.102
t2d;naive-bayes;random-forest;180;0.698;0.102;0.651;0.088
t2d;naive-bayes;random-forest;190;0.68;0.103;0.637;0.088
t2d;naive-bayes;random-forest;200;0.678;0.104;0.634;0.082
t2d;naive-bayes;mrmr;10;0.731;0.093;0.616;0.071
t2d;naive-bayes;mrmr;20;0.778;0.084;0.671;0.056
t2d;naive-bayes;mrmr;30;0.802;0.072;0.701;0.056
t2d;naive-bayes;mrmr;40;0.81;0.063;0.733;0.047
t2d;naive-bayes;mrmr;50;0.82;0.079;0.73;0.056
t2d;naive-bayes;mrmr;60;0.825;0.075;0.742;0.057
t2d;naive-bayes;mrmr;70;0.829;0.076;0.735;0.055
t2d;naive-bayes;mrmr;80;0.831;0.069;0.741;0.058
t2d;naive-bayes;mrmr;90;0.826;0.066;0.756;0.052
t2d;naive-bayes;mrmr;100;0.833;0.061;0.759;0.055
t2d;naive-bayes;mrmr;110;0.838;0.063;0.75;0.068
t2d;naive-bayes;mrmr;120;0.832;0.067;0.742;0.077
t2d;naive-bayes;mrmr;130;0.83;0.07;0.744;0.087
t2d;naive-bayes;mrmr;140;0.825;0.06;0.736;0.077
t2d;naive-bayes;mrmr;150;0.815;0.06;0.738;0.081
t2d;naive-bayes;mrmr;160;0.818;0.057;0.739;0.077
t2d;naive-bayes;mrmr;170;0.815;0.055;0.739;0.076
t2d;naive-bayes;mrmr;180;0.804;0.049;0.73;0.069
t2d;naive-bayes;mrmr;190;0.808;0.057;0.73;0.059
t2d;naive-bayes;mrmr;200;0.808;0.055;0.727;0.052
t2d;naive-bayes;mutual-info;10;0.635;0.105;0.567;0.039
t2d;naive-bayes;mutual-info;20;0.669;0.088;0.579;0.077
t2d;naive-bayes;mutual-info;30;0.679;0.119;0.576;0.063
t2d;naive-bayes;mutual-info;40;0.657;0.061;0.581;0.059
t2d;naive-bayes;mutual-info;50;0.612;0.062;0.572;0.063
t2d;naive-bayes;mutual-info;60;0.634;0.084;0.593;0.087
t2d;naive-bayes;mutual-info;70;0.697;0.099;0.616;0.064
t2d;naive-bayes;mutual-info;80;0.635;0.094;0.587;0.063
t2d;naive-bayes;mutual-info;90;0.649;0.086;0.587;0.069
t2d;naive-bayes;mutual-info;100;0.611;0.076;0.578;0.044
t2d;naive-bayes;mutual-info;110;0.685;0.107;0.631;0.097
t2d;naive-bayes;mutual-info;120;0.673;0.045;0.631;0.048
t2d;naive-bayes;mutual-info;130;0.61;0.073;0.543;0.057
t2d;naive-bayes;mutual-info;140;0.698;0.107;0.648;0.108
t2d;naive-bayes;mutual-info;150;0.669;0.084;0.639;0.086
t2d;naive-bayes;mutual-info;160;0.674;0.068;0.619;0.078
t2d;naive-bayes;mutual-info;170;0.644;0.105;0.613;0.093
t2d;naive-bayes;mutual-info;180;0.669;0.086;0.637;0.071
t2d;naive-bayes;mutual-info;190;0.68;0.124;0.625;0.096
t2d;naive-bayes;mutual-info;200;0.694;0.116;0.633;0.08
t2d;naive-bayes;chi2;10;0.731;0.092;0.599;0.038
t2d;naive-bayes;chi2;20;0.758;0.09;0.634;0.078
t2d;naive-bayes;chi2;30;0.772;0.09;0.672;0.06
t2d;naive-bayes;chi2;40;0.771;0.092;0.655;0.06
t2d;naive-bayes;chi2;50;0.767;0.098;0.669;0.078
t2d;naive-bayes;chi2;60;0.765;0.096;0.681;0.072
t2d;naive-bayes;chi2;70;0.776;0.084;0.695;0.089
t2d;naive-bayes;chi2;80;0.779;0.087;0.695;0.098
t2d;naive-bayes;chi2;90;0.776;0.087;0.695;0.085
t2d;naive-bayes;chi2;100;0.765;0.102;0.698;0.099
t2d;naive-bayes;chi2;110;0.756;0.092;0.683;0.096
t2d;naive-bayes;chi2;120;0.759;0.096;0.68;0.093
t2d;naive-bayes;chi2;130;0.745;0.094;0.68;0.084
t2d;naive-bayes;chi2;140;0.744;0.099;0.671;0.094
t2d;naive-bayes;chi2;150;0.761;0.083;0.686;0.082
t2d;naive-bayes;chi2;160;0.75;0.083;0.68;0.08
t2d;naive-bayes;chi2;170;0.74;0.085;0.666;0.077
t2d;naive-bayes;chi2;180;0.739;0.084;0.663;0.085
t2d;naive-bayes;chi2;190;0.716;0.095;0.66;0.082
t2d;naive-bayes;chi2;200;0.731;0.075;0.669;0.076
t2d;naive-bayes;multisurf;10;0.712;0.108;0.645;0.074
t2d;naive-bayes;multisurf;20;0.721;0.096;0.654;0.066
t2d;naive-bayes;multisurf;30;0.711;0.084;0.678;0.067
t2d;naive-bayes;multisurf;40;0.69;0.08;0.654;0.055
t2d;naive-bayes;multisurf;50;0.663;0.093;0.64;0.055
t2d;naive-bayes;multisurf;60;0.662;0.108;0.663;0.079
t2d;naive-bayes;multisurf;70;0.668;0.1;0.663;0.057
t2d;naive-bayes;multisurf;80;0.641;0.103;0.646;0.075
t2d;naive-bayes;multisurf;90;0.64;0.077;0.604;0.047
t2d;naive-bayes;multisurf;100;0.624;0.089;0.587;0.056
t2d;naive-bayes;multisurf;110;0.612;0.098;0.578;0.06
t2d;naive-bayes;multisurf;120;0.616;0.09;0.578;0.052
t2d;naive-bayes;multisurf;130;0.605;0.08;0.576;0.04
t2d;naive-bayes;multisurf;140;0.606;0.07;0.582;0.04
t2d;naive-bayes;multisurf;150;0.615;0.067;0.578;0.043
t2d;naive-bayes;multisurf;160;0.638;0.08;0.599;0.051
t2d;naive-bayes;multisurf;170;0.643;0.083;0.602;0.047
t2d;naive-bayes;multisurf;180;0.624;0.089;0.596;0.067
t2d;naive-bayes;multisurf;190;0.614;0.091;0.596;0.063
t2d;naive-bayes;multisurf;200;0.623;0.089;0.59;0.071
t2d;naive-bayes;boruta;16;0.693;0.126;0.61;0.066
obesity;naive-bayes;random-forest;10;0.648;0.104;0.668;0.068
obesity;naive-bayes;random-forest;20;0.643;0.149;0.663;0.121
obesity;naive-bayes;random-forest;30;0.666;0.151;0.668;0.106
obesity;naive-bayes;random-forest;40;0.647;0.111;0.632;0.078
obesity;naive-bayes;random-forest;50;0.61;0.142;0.635;0.1
obesity;naive-bayes;random-forest;60;0.577;0.152;0.576;0.108
obesity;naive-bayes;random-forest;70;0.59;0.145;0.588;0.102
obesity;naive-bayes;random-forest;80;0.586;0.143;0.588;0.095
obesity;naive-bayes;random-forest;90;0.569;0.121;0.608;0.088
obesity;naive-bayes;random-forest;100;0.557;0.121;0.564;0.076
obesity;naive-bayes;random-forest;110;0.529;0.148;0.58;0.121
obesity;naive-bayes;random-forest;120;0.546;0.152;0.56;0.128
obesity;naive-bayes;random-forest;130;0.524;0.137;0.536;0.129
obesity;naive-bayes;random-forest;140;0.495;0.118;0.521;0.113
obesity;naive-bayes;random-forest;150;0.509;0.127;0.528;0.131
obesity;naive-bayes;random-forest;160;0.476;0.148;0.497;0.14
obesity;naive-bayes;random-forest;170;0.507;0.141;0.521;0.131
obesity;naive-bayes;random-forest;180;0.507;0.137;0.485;0.126
obesity;naive-bayes;random-forest;190;0.55;0.108;0.497;0.115
obesity;naive-bayes;random-forest;200;0.539;0.117;0.498;0.111
obesity;naive-bayes;mrmr;10;0.721;0.08;0.719;0.034
obesity;naive-bayes;mrmr;20;0.641;0.052;0.736;0.041
obesity;naive-bayes;mrmr;30;0.654;0.062;0.736;0.051
obesity;naive-bayes;mrmr;40;0.647;0.069;0.72;0.068
obesity;naive-bayes;mrmr;50;0.653;0.084;0.724;0.085
obesity;naive-bayes;mrmr;60;0.681;0.071;0.724;0.058
obesity;naive-bayes;mrmr;70;0.658;0.063;0.72;0.066
obesity;naive-bayes;mrmr;80;0.669;0.065;0.735;0.052
obesity;naive-bayes;mrmr;90;0.692;0.059;0.739;0.052
obesity;naive-bayes;mrmr;100;0.687;0.054;0.739;0.055
obesity;naive-bayes;mrmr;110;0.689;0.057;0.731;0.046
obesity;naive-bayes;mrmr;120;0.682;0.068;0.723;0.056
obesity;naive-bayes;mrmr;130;0.71;0.089;0.712;0.045
obesity;naive-bayes;mrmr;140;0.704;0.108;0.703;0.043
obesity;naive-bayes;mrmr;150;0.702;0.113;0.703;0.052
obesity;naive-bayes;mrmr;160;0.701;0.117;0.711;0.057
obesity;naive-bayes;mrmr;170;0.693;0.107;0.703;0.08
obesity;naive-bayes;mrmr;180;0.699;0.101;0.639;0.112
obesity;naive-bayes;mrmr;190;0.706;0.094;0.604;0.126
obesity;naive-bayes;mrmr;200;0.7;0.11;0.588;0.131
obesity;naive-bayes;mutual-info;10;0.544;0.114;0.387;0.05
obesity;naive-bayes;mutual-info;20;0.619;0.121;0.423;0.088
obesity;naive-bayes;mutual-info;30;0.562;0.17;0.492;0.112
obesity;naive-bayes;mutual-info;40;0.583;0.147;0.415;0.055
obesity;naive-bayes;mutual-info;50;0.597;0.114;0.588;0.093
obesity;naive-bayes;mutual-info;60;0.592;0.123;0.451;0.064
obesity;naive-bayes;mutual-info;70;0.52;0.144;0.43;0.087
obesity;naive-bayes;mutual-info;80;0.602;0.084;0.45;0.054
obesity;naive-bayes;mutual-info;90;0.642;0.058;0.466;0.08
obesity;naive-bayes;mutual-info;100;0.618;0.103;0.497;0.058
obesity;naive-bayes;mutual-info;110;0.572;0.097;0.411;0.037
obesity;naive-bayes;mutual-info;120;0.546;0.13;0.443;0.078
obesity;naive-bayes;mutual-info;130;0.511;0.133;0.411;0.054
obesity;naive-bayes;mutual-info;140;0.579;0.094;0.49;0.072
obesity;naive-bayes;mutual-info;150;0.452;0.154;0.374;0.096
obesity;naive-bayes;mutual-info;160;0.509;0.144;0.43;0.097
obesity;naive-bayes;mutual-info;170;0.594;0.116;0.517;0.121
obesity;naive-bayes;mutual-info;180;0.578;0.097;0.458;0.059
obesity;naive-bayes;mutual-info;190;0.543;0.11;0.481;0.099
obesity;naive-bayes;mutual-info;200;0.527;0.103;0.462;0.117
obesity;naive-bayes;chi2;10;0.652;0.104;0.679;0.073
obesity;naive-bayes;chi2;20;0.693;0.089;0.683;0.063
obesity;naive-bayes;chi2;30;0.659;0.138;0.632;0.103
obesity;naive-bayes;chi2;40;0.647;0.12;0.655;0.103
obesity;naive-bayes;chi2;50;0.634;0.126;0.652;0.077
obesity;naive-bayes;chi2;60;0.633;0.121;0.624;0.121
obesity;naive-bayes;chi2;70;0.603;0.113;0.612;0.101
obesity;naive-bayes;chi2;80;0.595;0.114;0.589;0.108
obesity;naive-bayes;chi2;90;0.589;0.095;0.581;0.102
obesity;naive-bayes;chi2;100;0.597;0.093;0.513;0.097
obesity;naive-bayes;chi2;110;0.6;0.101;0.537;0.095
obesity;naive-bayes;chi2;120;0.624;0.092;0.533;0.087
obesity;naive-bayes;chi2;130;0.606;0.094;0.533;0.092
obesity;naive-bayes;chi2;140;0.6;0.104;0.545;0.09
obesity;naive-bayes;chi2;150;0.597;0.089;0.529;0.081
obesity;naive-bayes;chi2;160;0.59;0.084;0.517;0.085
obesity;naive-bayes;chi2;170;0.591;0.079;0.537;0.079
obesity;naive-bayes;chi2;180;0.576;0.076;0.525;0.102
obesity;naive-bayes;chi2;190;0.58;0.079;0.529;0.08
obesity;naive-bayes;chi2;200;0.577;0.086;0.529;0.093
obesity;naive-bayes;multisurf;10;0.598;0.16;0.494;0.142
obesity;naive-bayes;multisurf;20;0.549;0.146;0.487;0.102
obesity;naive-bayes;multisurf;30;0.566;0.153;0.454;0.119
obesity;naive-bayes;multisurf;40;0.555;0.11;0.43;0.153
