dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
obesity;naive-bayes;multisurf;50;0.565;0.087;0.635;0.116
obesity;naive-bayes;multisurf;60;0.541;0.072;0.522;0.121
obesity;naive-bayes;multisurf;70;0.506;0.061;0.564;0.126
obesity;naive-bayes;multisurf;80;0.509;0.077;0.517;0.1
obesity;naive-bayes;multisurf;90;0.518;0.067;0.454;0.09
obesity;naive-bayes;multisurf;100;0.512;0.084;0.541;0.109
obesity;naive-bayes;multisurf;110;0.502;0.087;0.505;0.117
obesity;naive-bayes;multisurf;120;0.459;0.082;0.481;0.109
obesity;naive-bayes;multisurf;130;0.471;0.096;0.474;0.103
obesity;naive-bayes;multisurf;140;0.499;0.092;0.609;0.086
obesity;naive-bayes;multisurf;150;0.456;0.086;0.485;0.135
obesity;naive-bayes;multisurf;160;0.466;0.073;0.438;0.114
obesity;naive-bayes;multisurf;170;0.458;0.08;0.41;0.105
obesity;naive-bayes;multisurf;180;0.464;0.08;0.41;0.096
obesity;naive-bayes;multisurf;190;0.459;0.081;0.407;0.078
obesity;naive-bayes;multisurf;200;0.462;0.092;0.395;0.069
obesity;naive-bayes;boruta;7;0.636;0.134;0.656;0.059
cirrhosis;naive-bayes;random-forest;10;0.895;0.09;0.776;0.09
cirrhosis;naive-bayes;random-forest;20;0.886;0.056;0.789;0.093
cirrhosis;naive-bayes;random-forest;30;0.882;0.056;0.802;0.084
cirrhosis;naive-bayes;random-forest;40;0.872;0.065;0.797;0.093
cirrhosis;naive-bayes;random-forest;50;0.858;0.053;0.806;0.086
cirrhosis;naive-bayes;random-forest;60;0.845;0.072;0.806;0.086
cirrhosis;naive-bayes;random-forest;70;0.844;0.072;0.806;0.08
cirrhosis;naive-bayes;random-forest;80;0.848;0.074;0.815;0.071
cirrhosis;naive-bayes;random-forest;90;0.866;0.061;0.832;0.059
cirrhosis;naive-bayes;random-forest;100;0.873;0.071;0.836;0.071
cirrhosis;naive-bayes;random-forest;110;0.869;0.078;0.828;0.074
cirrhosis;naive-bayes;random-forest;120;0.863;0.064;0.824;0.067
cirrhosis;naive-bayes;random-forest;130;0.858;0.062;0.832;0.081
cirrhosis;naive-bayes;random-forest;140;0.854;0.049;0.828;0.075
cirrhosis;naive-bayes;random-forest;150;0.855;0.054;0.824;0.079
cirrhosis;naive-bayes;random-forest;160;0.85;0.051;0.819;0.08
cirrhosis;naive-bayes;random-forest;170;0.842;0.063;0.82;0.077
cirrhosis;naive-bayes;random-forest;180;0.856;0.071;0.837;0.083
cirrhosis;naive-bayes;random-forest;190;0.849;0.077;0.828;0.098
cirrhosis;naive-bayes;random-forest;200;0.845;0.084;0.833;0.102
cirrhosis;naive-bayes;mrmr;10;0.892;0.055;0.759;0.085
cirrhosis;naive-bayes;mrmr;20;0.905;0.034;0.811;0.053
cirrhosis;naive-bayes;mrmr;30;0.911;0.038;0.807;0.071
cirrhosis;naive-bayes;mrmr;40;0.911;0.039;0.819;0.06
cirrhosis;naive-bayes;mrmr;50;0.886;0.042;0.823;0.071
cirrhosis;naive-bayes;mrmr;60;0.882;0.036;0.832;0.071
cirrhosis;naive-bayes;mrmr;70;0.878;0.043;0.867;0.056
cirrhosis;naive-bayes;mrmr;80;0.88;0.047;0.858;0.065
cirrhosis;naive-bayes;mrmr;90;0.881;0.048;0.853;0.059
cirrhosis;naive-bayes;mrmr;100;0.895;0.051;0.871;0.055
cirrhosis;naive-bayes;mrmr;110;0.892;0.058;0.871;0.061
cirrhosis;naive-bayes;mrmr;120;0.892;0.049;0.871;0.061
cirrhosis;naive-bayes;mrmr;130;0.887;0.054;0.875;0.056
cirrhosis;naive-bayes;mrmr;140;0.889;0.045;0.875;0.063
cirrhosis;naive-bayes;mrmr;150;0.897;0.047;0.884;0.067
cirrhosis;naive-bayes;mrmr;160;0.897;0.047;0.888;0.062
cirrhosis;naive-bayes;mrmr;170;0.9;0.052;0.884;0.067
cirrhosis;naive-bayes;mrmr;180;0.898;0.068;0.888;0.073
cirrhosis;naive-bayes;mrmr;190;0.895;0.068;0.879;0.072
cirrhosis;naive-bayes;mrmr;200;0.889;0.06;0.875;0.063
cirrhosis;naive-bayes;mutual-info;10;0.891;0.073;0.776;0.098
cirrhosis;naive-bayes;mutual-info;20;0.852;0.063;0.815;0.079
cirrhosis;naive-bayes;mutual-info;30;0.86;0.074;0.819;0.067
cirrhosis;naive-bayes;mutual-info;40;0.852;0.069;0.832;0.065
cirrhosis;naive-bayes;mutual-info;50;0.841;0.053;0.828;0.054
cirrhosis;naive-bayes;mutual-info;60;0.859;0.069;0.84;0.073
cirrhosis;naive-bayes;mutual-info;70;0.83;0.066;0.815;0.063
cirrhosis;naive-bayes;mutual-info;80;0.834;0.064;0.814;0.067
cirrhosis;naive-bayes;mutual-info;90;0.817;0.063;0.798;0.074
cirrhosis;naive-bayes;mutual-info;100;0.846;0.081;0.819;0.099
cirrhosis;naive-bayes;mutual-info;110;0.828;0.078;0.81;0.083
cirrhosis;naive-bayes;mutual-info;120;0.848;0.071;0.836;0.079
cirrhosis;naive-bayes;mutual-info;130;0.832;0.052;0.814;0.073
cirrhosis;naive-bayes;mutual-info;140;0.815;0.073;0.802;0.079
cirrhosis;naive-bayes;mutual-info;150;0.842;0.062;0.836;0.063
cirrhosis;naive-bayes;mutual-info;160;0.835;0.09;0.828;0.087
cirrhosis;naive-bayes;mutual-info;170;0.814;0.075;0.806;0.078
cirrhosis;naive-bayes;mutual-info;180;0.829;0.068;0.806;0.077
cirrhosis;naive-bayes;mutual-info;190;0.858;0.064;0.845;0.083
cirrhosis;naive-bayes;mutual-info;200;0.867;0.057;0.849;0.055
cirrhosis;naive-bayes;chi2;10;0.872;0.067;0.772;0.06
cirrhosis;naive-bayes;chi2;20;0.901;0.052;0.811;0.074
cirrhosis;naive-bayes;chi2;30;0.906;0.064;0.811;0.057
cirrhosis;naive-bayes;chi2;40;0.89;0.059;0.815;0.059
cirrhosis;naive-bayes;chi2;50;0.887;0.061;0.824;0.073
cirrhosis;naive-bayes;chi2;60;0.879;0.071;0.828;0.082
cirrhosis;naive-bayes;chi2;70;0.855;0.065;0.82;0.071
cirrhosis;naive-bayes;chi2;80;0.839;0.063;0.811;0.07
cirrhosis;naive-bayes;chi2;90;0.842;0.047;0.823;0.052
cirrhosis;naive-bayes;chi2;100;0.836;0.053;0.815;0.061
cirrhosis;naive-bayes;chi2;110;0.822;0.06;0.798;0.066
cirrhosis;naive-bayes;chi2;120;0.827;0.057;0.806;0.066
cirrhosis;naive-bayes;chi2;130;0.842;0.062;0.832;0.075
cirrhosis;naive-bayes;chi2;140;0.847;0.055;0.836;0.071
cirrhosis;naive-bayes;chi2;150;0.822;0.07;0.819;0.074
cirrhosis;naive-bayes;chi2;160;0.832;0.078;0.828;0.084
cirrhosis;naive-bayes;chi2;170;0.831;0.08;0.828;0.079
cirrhosis;naive-bayes;chi2;180;0.834;0.081;0.836;0.079
cirrhosis;naive-bayes;chi2;190;0.835;0.079;0.832;0.083
cirrhosis;naive-bayes;chi2;200;0.831;0.083;0.832;0.083
cirrhosis;naive-bayes;multisurf;10;0.808;0.081;0.716;0.064
cirrhosis;naive-bayes;multisurf;20;0.822;0.096;0.733;0.066
cirrhosis;naive-bayes;multisurf;30;0.79;0.104;0.733;0.098
cirrhosis;naive-bayes;multisurf;40;0.85;0.079;0.776;0.082
cirrhosis;naive-bayes;multisurf;50;0.877;0.042;0.797;0.043
cirrhosis;naive-bayes;multisurf;60;0.886;0.043;0.815;0.045
cirrhosis;naive-bayes;multisurf;70;0.864;0.055;0.815;0.065
cirrhosis;naive-bayes;multisurf;80;0.871;0.046;0.815;0.058
cirrhosis;naive-bayes;multisurf;90;0.87;0.05;0.785;0.071
cirrhosis;naive-bayes;multisurf;100;0.866;0.052;0.78;0.067
cirrhosis;naive-bayes;multisurf;110;0.852;0.049;0.793;0.061
cirrhosis;naive-bayes;multisurf;120;0.845;0.057;0.798;0.067
cirrhosis;naive-bayes;multisurf;130;0.834;0.041;0.798;0.056
cirrhosis;naive-bayes;multisurf;140;0.822;0.046;0.793;0.059
cirrhosis;naive-bayes;multisurf;150;0.832;0.045;0.789;0.055
cirrhosis;naive-bayes;multisurf;160;0.846;0.043;0.811;0.066
cirrhosis;naive-bayes;multisurf;170;0.836;0.058;0.811;0.077
cirrhosis;naive-bayes;multisurf;180;0.86;0.053;0.828;0.069
cirrhosis;naive-bayes;multisurf;190;0.861;0.058;0.827;0.08
cirrhosis;naive-bayes;multisurf;200;0.847;0.07;0.819;0.087
cirrhosis;naive-bayes;boruta;36;0.854;0.059;0.802;0.068
cirrhosis;gradient-boosting;random-forest;10;0.912;0.054;0.814;0.048
cirrhosis;gradient-boosting;random-forest;20;0.924;0.048;0.866;0.041
cirrhosis;gradient-boosting;random-forest;30;0.896;0.048;0.845;0.062
cirrhosis;gradient-boosting;random-forest;40;0.905;0.075;0.824;0.055
cirrhosis;gradient-boosting;random-forest;50;0.909;0.07;0.832;0.073
cirrhosis;gradient-boosting;random-forest;60;0.889;0.06;0.84;0.087
cirrhosis;gradient-boosting;random-forest;70;0.918;0.069;0.862;0.077
cirrhosis;gradient-boosting;random-forest;80;0.917;0.063;0.866;0.065
cirrhosis;gradient-boosting;random-forest;90;0.921;0.06;0.853;0.065
cirrhosis;gradient-boosting;random-forest;100;0.915;0.062;0.827;0.087
cirrhosis;gradient-boosting;random-forest;110;0.903;0.063;0.84;0.091
cirrhosis;gradient-boosting;random-forest;120;0.884;0.067;0.827;0.073
cirrhosis;gradient-boosting;random-forest;130;0.892;0.065;0.81;0.082
cirrhosis;gradient-boosting;random-forest;140;0.88;0.072;0.819;0.087
cirrhosis;gradient-boosting;random-forest;150;0.886;0.071;0.836;0.081
cirrhosis;gradient-boosting;random-forest;160;0.892;0.058;0.823;0.074
cirrhosis;gradient-boosting;random-forest;170;0.887;0.066;0.823;0.083
cirrhosis;gradient-boosting;random-forest;180;0.89;0.053;0.823;0.074
cirrhosis;gradient-boosting;random-forest;190;0.887;0.071;0.802;0.068
cirrhosis;gradient-boosting;random-forest;200;0.886;0.071;0.823;0.066
cirrhosis;gradient-boosting;mrmr;10;0.885;0.057;0.828;0.058
cirrhosis;gradient-boosting;mrmr;20;0.929;0.033;0.858;0.044
cirrhosis;gradient-boosting;mrmr;30;0.914;0.039;0.819;0.041
cirrhosis;gradient-boosting;mrmr;40;0.889;0.047;0.832;0.041
cirrhosis;gradient-boosting;mrmr;50;0.895;0.049;0.81;0.062
cirrhosis;gradient-boosting;mrmr;60;0.899;0.047;0.823;0.065
cirrhosis;gradient-boosting;mrmr;70;0.914;0.049;0.819;0.054
cirrhosis;gradient-boosting;mrmr;80;0.903;0.067;0.806;0.082
cirrhosis;gradient-boosting;mrmr;90;0.916;0.039;0.858;0.053
cirrhosis;gradient-boosting;mrmr;100;0.914;0.042;0.832;0.055
cirrhosis;gradient-boosting;mrmr;110;0.893;0.043;0.81;0.066
cirrhosis;gradient-boosting;mrmr;120;0.89;0.048;0.819;0.063
cirrhosis;gradient-boosting;mrmr;130;0.907;0.043;0.814;0.069
cirrhosis;gradient-boosting;mrmr;140;0.897;0.034;0.823;0.069
cirrhosis;gradient-boosting;mrmr;150;0.891;0.038;0.819;0.071
cirrhosis;gradient-boosting;mrmr;160;0.899;0.049;0.827;0.058
cirrhosis;gradient-boosting;mrmr;170;0.898;0.053;0.814;0.055
cirrhosis;gradient-boosting;mrmr;180;0.905;0.048;0.81;0.062
cirrhosis;gradient-boosting;mrmr;190;0.905;0.048;0.827;0.055
cirrhosis;gradient-boosting;mrmr;200;0.896;0.052;0.818;0.061
cirrhosis;gradient-boosting;mutual-info;10;0.909;0.055;0.806;0.063
cirrhosis;gradient-boosting;mutual-info;20;0.911;0.038;0.836;0.038
cirrhosis;gradient-boosting;mutual-info;30;0.93;0.053;0.862;0.06
cirrhosis;gradient-boosting;mutual-info;40;0.909;0.043;0.832;0.041
cirrhosis;gradient-boosting;mutual-info;50;0.902;0.052;0.836;0.038
cirrhosis;gradient-boosting;mutual-info;60;0.906;0.04;0.818;0.064
cirrhosis;gradient-boosting;mutual-info;70;0.888;0.07;0.845;0.063
cirrhosis;gradient-boosting;mutual-info;80;0.898;0.054;0.836;0.069
cirrhosis;gradient-boosting;mutual-info;90;0.905;0.045;0.815;0.077
cirrhosis;gradient-boosting;mutual-info;100;0.905;0.058;0.85;0.073
cirrhosis;gradient-boosting;mutual-info;110;0.905;0.05;0.862;0.063
cirrhosis;gradient-boosting;mutual-info;120;0.899;0.039;0.819;0.076
cirrhosis;gradient-boosting;mutual-info;130;0.896;0.058;0.823;0.069
cirrhosis;gradient-boosting;mutual-info;140;0.922;0.038;0.853;0.066
cirrhosis;gradient-boosting;mutual-info;150;0.894;0.071;0.832;0.065
cirrhosis;gradient-boosting;mutual-info;160;0.915;0.047;0.853;0.066
cirrhosis;gradient-boosting;mutual-info;170;0.899;0.04;0.836;0.053
cirrhosis;gradient-boosting;mutual-info;180;0.917;0.056;0.858;0.078
cirrhosis;gradient-boosting;mutual-info;190;0.891;0.043;0.814;0.081
cirrhosis;gradient-boosting;mutual-info;200;0.909;0.045;0.845;0.072
cirrhosis;gradient-boosting;chi2;10;0.868;0.077;0.815;0.074
cirrhosis;gradient-boosting;chi2;20;0.879;0.056;0.811;0.043
cirrhosis;gradient-boosting;chi2;30;0.908;0.054;0.828;0.043
cirrhosis;gradient-boosting;chi2;40;0.911;0.052;0.819;0.057
cirrhosis;gradient-boosting;chi2;50;0.881;0.078;0.797;0.034
cirrhosis;gradient-boosting;chi2;60;0.886;0.073;0.827;0.07
cirrhosis;gradient-boosting;chi2;70;0.911;0.064;0.853;0.051
cirrhosis;gradient-boosting;chi2;80;0.893;0.084;0.849;0.066
cirrhosis;gradient-boosting;chi2;90;0.894;0.08;0.841;0.093
cirrhosis;gradient-boosting;chi2;100;0.919;0.05;0.862;0.077
cirrhosis;gradient-boosting;chi2;110;0.919;0.044;0.866;0.073
cirrhosis;gradient-boosting;chi2;120;0.921;0.046;0.862;0.072
cirrhosis;gradient-boosting;chi2;130;0.912;0.044;0.87;0.073
cirrhosis;gradient-boosting;chi2;140;0.911;0.048;0.858;0.08
cirrhosis;gradient-boosting;chi2;150;0.907;0.05;0.862;0.066
cirrhosis;gradient-boosting;chi2;160;0.907;0.055;0.845;0.07
cirrhosis;gradient-boosting;chi2;170;0.91;0.053;0.845;0.058
cirrhosis;gradient-boosting;chi2;180;0.909;0.054;0.836;0.057
cirrhosis;gradient-boosting;chi2;190;0.917;0.046;0.866;0.05
cirrhosis;gradient-boosting;chi2;200;0.902;0.062;0.84;0.056
cirrhosis;gradient-boosting;multisurf;10;0.754;0.09;0.673;0.061
cirrhosis;gradient-boosting;multisurf;20;0.817;0.091;0.716;0.088
cirrhosis;gradient-boosting;multisurf;30;0.898;0.056;0.84;0.055
cirrhosis;gradient-boosting;multisurf;40;0.904;0.047;0.84;0.04
cirrhosis;gradient-boosting;multisurf;50;0.9;0.048;0.836;0.043
cirrhosis;gradient-boosting;multisurf;60;0.906;0.045;0.836;0.047
cirrhosis;gradient-boosting;multisurf;70;0.886;0.056;0.832;0.041
cirrhosis;gradient-boosting;multisurf;80;0.866;0.069;0.815;0.074
cirrhosis;gradient-boosting;multisurf;90;0.868;0.076;0.81;0.073
cirrhosis;gradient-boosting;multisurf;100;0.881;0.066;0.84;0.073
cirrhosis;gradient-boosting;multisurf;110;0.897;0.059;0.815;0.079
cirrhosis;gradient-boosting;multisurf;120;0.9;0.058;0.832;0.077
cirrhosis;gradient-boosting;multisurf;130;0.9;0.059;0.836;0.078
cirrhosis;gradient-boosting;multisurf;140;0.903;0.059;0.832;0.077
cirrhosis;gradient-boosting;multisurf;150;0.913;0.043;0.84;0.051
cirrhosis;gradient-boosting;multisurf;160;0.9;0.043;0.823;0.056
cirrhosis;gradient-boosting;multisurf;170;0.903;0.045;0.832;0.056
cirrhosis;gradient-boosting;multisurf;180;0.902;0.058;0.84;0.052
cirrhosis;gradient-boosting;multisurf;190;0.897;0.055;0.84;0.048
cirrhosis;gradient-boosting;multisurf;200;0.902;0.059;0.836;0.055
cirrhosis;gradient-boosting;boruta;36;0.904;0.038;0.832;0.039
t2d;gradient-boosting;random-forest;10;0.718;0.067;0.651;0.08
t2d;gradient-boosting;random-forest;20;0.721;0.077;0.657;0.071
t2d;gradient-boosting;random-forest;30;0.719;0.064;0.649;0.058
t2d;gradient-boosting;random-forest;40;0.723;0.064;0.648;0.069
t2d;gradient-boosting;random-forest;50;0.722;0.065;0.651;0.061
t2d;gradient-boosting;random-forest;60;0.701;0.084;0.657;0.073
t2d;gradient-boosting;random-forest;70;0.697;0.075;0.631;0.052
t2d;gradient-boosting;random-forest;80;0.708;0.066;0.657;0.043
t2d;gradient-boosting;random-forest;90;0.702;0.072;0.654;0.042
t2d;gradient-boosting;random-forest;100;0.698;0.071;0.646;0.054
t2d;gradient-boosting;random-forest;110;0.696;0.071;0.654;0.046
t2d;gradient-boosting;random-forest;120;0.696;0.08;0.654;0.049
t2d;gradient-boosting;random-forest;130;0.693;0.078;0.649;0.057
t2d;gradient-boosting;random-forest;140;0.695;0.078;0.646;0.055
t2d;gradient-boosting;random-forest;150;0.683;0.071;0.652;0.063
t2d;gradient-boosting;random-forest;160;0.688;0.074;0.652;0.052
t2d;gradient-boosting;random-forest;170;0.688;0.067;0.66;0.056
t2d;gradient-boosting;random-forest;180;0.684;0.068;0.652;0.066
t2d;gradient-boosting;random-forest;190;0.685;0.065;0.643;0.072
t2d;gradient-boosting;random-forest;200;0.685;0.066;0.652;0.066
t2d;gradient-boosting;mrmr;10;0.71;0.056;0.646;0.056
t2d;gradient-boosting;mrmr;20;0.713;0.061;0.628;0.026
t2d;gradient-boosting;mrmr;30;0.704;0.081;0.628;0.079
t2d;gradient-boosting;mrmr;40;0.693;0.077;0.652;0.051
t2d;gradient-boosting;mrmr;50;0.689;0.079;0.649;0.061
t2d;gradient-boosting;mrmr;60;0.686;0.083;0.643;0.058
t2d;gradient-boosting;mrmr;70;0.685;0.083;0.643;0.058
t2d;gradient-boosting;mrmr;80;0.668;0.089;0.62;0.081
t2d;gradient-boosting;mrmr;90;0.677;0.087;0.632;0.076
t2d;gradient-boosting;mrmr;100;0.674;0.092;0.646;0.072
t2d;gradient-boosting;mrmr;110;0.671;0.088;0.646;0.057
t2d;gradient-boosting;mrmr;120;0.673;0.095;0.637;0.064
t2d;gradient-boosting;mrmr;130;0.684;0.1;0.655;0.088
t2d;gradient-boosting;mrmr;140;0.673;0.102;0.643;0.084
t2d;gradient-boosting;mrmr;150;0.677;0.098;0.661;0.083
t2d;gradient-boosting;mrmr;160;0.676;0.1;0.658;0.083
t2d;gradient-boosting;mrmr;170;0.687;0.082;0.649;0.068
t2d;gradient-boosting;mrmr;180;0.686;0.084;0.646;0.073
t2d;gradient-boosting;mrmr;190;0.684;0.078;0.649;0.07
t2d;gradient-boosting;mrmr;200;0.682;0.086;0.652;0.068
t2d;gradient-boosting;mutual-info;10;0.609;0.09;0.613;0.068
t2d;gradient-boosting;mutual-info;20;0.671;0.077;0.608;0.087
t2d;gradient-boosting;mutual-info;30;0.68;0.068;0.619;0.051
t2d;gradient-boosting;mutual-info;40;0.703;0.061;0.663;0.043
t2d;gradient-boosting;mutual-info;50;0.692;0.094;0.646;0.078
t2d;gradient-boosting;mutual-info;60;0.708;0.082;0.634;0.063
t2d;gradient-boosting;mutual-info;70;0.673;0.068;0.623;0.072
t2d;gradient-boosting;mutual-info;80;0.703;0.078;0.669;0.067
t2d;gradient-boosting;mutual-info;90;0.679;0.087;0.64;0.068
t2d;gradient-boosting;mutual-info;100;0.692;0.079;0.666;0.09
t2d;gradient-boosting;mutual-info;110;0.685;0.092;0.64;0.09
t2d;gradient-boosting;mutual-info;120;0.697;0.081;0.643;0.055
t2d;gradient-boosting;mutual-info;130;0.694;0.082;0.652;0.052
t2d;gradient-boosting;mutual-info;140;0.675;0.076;0.625;0.043
t2d;gradient-boosting;mutual-info;150;0.693;0.069;0.634;0.048
t2d;gradient-boosting;mutual-info;160;0.698;0.081;0.669;0.061
t2d;gradient-boosting;mutual-info;170;0.679;0.07;0.614;0.069
t2d;gradient-boosting;mutual-info;180;0.67;0.099;0.617;0.093
t2d;gradient-boosting;mutual-info;190;0.657;0.084;0.62;0.072
t2d;gradient-boosting;mutual-info;200;0.689;0.058;0.645;0.034
t2d;gradient-boosting;chi2;10;0.712;0.086;0.649;0.072
t2d;gradient-boosting;chi2;20;0.705;0.086;0.646;0.077
t2d;gradient-boosting;chi2;30;0.683;0.088;0.631;0.058
t2d;gradient-boosting;chi2;40;0.674;0.09;0.631;0.073
t2d;gradient-boosting;chi2;50;0.67;0.096;0.614;0.074
t2d;gradient-boosting;chi2;60;0.643;0.081;0.599;0.071
t2d;gradient-boosting;chi2;70;0.667;0.082;0.637;0.066
t2d;gradient-boosting;chi2;80;0.669;0.076;0.643;0.065
t2d;gradient-boosting;chi2;90;0.682;0.078;0.632;0.084
t2d;gradient-boosting;chi2;100;0.682;0.095;0.649;0.103
t2d;gradient-boosting;chi2;110;0.664;0.099;0.623;0.091
t2d;gradient-boosting;chi2;120;0.661;0.103;0.617;0.088
t2d;gradient-boosting;chi2;130;0.656;0.103;0.614;0.111
t2d;gradient-boosting;chi2;140;0.655;0.1;0.599;0.112
t2d;gradient-boosting;chi2;150;0.665;0.079;0.628;0.061
t2d;gradient-boosting;chi2;160;0.669;0.082;0.637;0.06
t2d;gradient-boosting;chi2;170;0.661;0.077;0.631;0.05
t2d;gradient-boosting;chi2;180;0.666;0.082;0.631;0.049
t2d;gradient-boosting;chi2;190;0.663;0.072;0.625;0.054
t2d;gradient-boosting;chi2;200;0.659;0.065;0.646;0.034
t2d;gradient-boosting;multisurf;10;0.633;0.097;0.614;0.054
t2d;gradient-boosting;multisurf;20;0.627;0.093;0.619;0.055
t2d;gradient-boosting;multisurf;30;0.674;0.095;0.628;0.086
t2d;gradient-boosting;multisurf;40;0.664;0.076;0.628;0.068
t2d;gradient-boosting;multisurf;50;0.667;0.094;0.625;0.07
t2d;gradient-boosting;multisurf;60;0.663;0.083;0.649;0.066
t2d;gradient-boosting;multisurf;70;0.663;0.094;0.631;0.073
t2d;gradient-boosting;multisurf;80;0.67;0.081;0.625;0.093
t2d;gradient-boosting;multisurf;90;0.667;0.076;0.628;0.082
t2d;gradient-boosting;multisurf;100;0.678;0.089;0.64;0.073
t2d;gradient-boosting;multisurf;110;0.674;0.09;0.634;0.082
t2d;gradient-boosting;multisurf;120;0.67;0.092;0.62;0.084
t2d;gradient-boosting;multisurf;130;0.669;0.084;0.628;0.076
t2d;gradient-boosting;multisurf;140;0.674;0.082;0.634;0.07
t2d;gradient-boosting;multisurf;150;0.67;0.086;0.625;0.085
t2d;gradient-boosting;multisurf;160;0.675;0.08;0.628;0.074
t2d;gradient-boosting;multisurf;170;0.682;0.092;0.651;0.107
t2d;gradient-boosting;multisurf;180;0.681;0.096;0.654;0.105
t2d;gradient-boosting;multisurf;190;0.679;0.097;0.64;0.101
t2d;gradient-boosting;multisurf;200;0.68;0.099;0.646;0.09
t2d;gradient-boosting;boruta;16;0.748;0.077;0.672;0.069
obesity;gradient-boosting;random-forest;10;0.691;0.063;0.649;0.071
obesity;gradient-boosting;random-forest;20;0.665;0.073;0.648;0.051
obesity;gradient-boosting;random-forest;30;0.617;0.101;0.636;0.073
obesity;gradient-boosting;random-forest;40;0.596;0.107;0.644;0.037
obesity;gradient-boosting;random-forest;50;0.594;0.129;0.625;0.061
obesity;gradient-boosting;random-forest;60;0.59;0.119;0.636;0.052
obesity;gradient-boosting;random-forest;70;0.594;0.126;0.648;0.044
obesity;gradient-boosting;random-forest;80;0.575;0.122;0.648;0.049
obesity;gradient-boosting;random-forest;90;0.593;0.124;0.664;0.049
obesity;gradient-boosting;random-forest;100;0.606;0.123;0.679;0.049
obesity;gradient-boosting;random-forest;110;0.59;0.117;0.664;0.043
obesity;gradient-boosting;random-forest;120;0.585;0.127;0.66;0.034
obesity;gradient-boosting;random-forest;130;0.584;0.123;0.644;0.03
obesity;gradient-boosting;random-forest;140;0.579;0.124;0.648;0.028
obesity;gradient-boosting;random-forest;150;0.589;0.111;0.664;0.046
obesity;gradient-boosting;random-forest;160;0.588;0.109;0.66;0.042
obesity;gradient-boosting;random-forest;170;0.585;0.108;0.66;0.046
obesity;gradient-boosting;random-forest;180;0.58;0.108;0.664;0.046
obesity;gradient-boosting;random-forest;190;0.588;0.106;0.66;0.043
obesity;gradient-boosting;random-forest;200;0.587;0.109;0.652;0.044
obesity;gradient-boosting;mrmr;10;0.692;0.087;0.664;0.043
obesity;gradient-boosting;mrmr;20;0.683;0.064;0.68;0.05
obesity;gradient-boosting;mrmr;30;0.682;0.068;0.687;0.058
obesity;gradient-boosting;mrmr;40;0.694;0.067;0.671;0.057
obesity;gradient-boosting;mrmr;50;0.667;0.094;0.672;0.042
obesity;gradient-boosting;mrmr;60;0.704;0.094;0.656;0.063
obesity;gradient-boosting;mrmr;70;0.693;0.1;0.659;0.058
obesity;gradient-boosting;mrmr;80;0.686;0.097;0.667;0.052
